lambda_vector;mu_a_Oxy;mu_a_Deoxy;mu_a_Fat;mu_a_Water;mu_a_Mel;mu_a_Baseline;mu_a_StratumCorneum;mu_a_Epidermis;mu_a_PapiDermis;mu_a_UpBloodDermis;mu_a_RetiDermis;mu_a_DeepBloodDermis;mu_a_FatDermis
788;0.00040392;4.04E-08;3.49E-05;2.09E-06;0.014931782;2.50E-05;1.35E-05;0.000318547;2.63E-05;7.49E-05;2.17E-05;4.08E-05;4.70E-05
789;0.00040608;4.06E-08;3.46E-05;2.07E-06;0.014868855;2.50E-05;1.35E-05;0.000317278;2.63E-05;7.53E-05;2.18E-05;4.10E-05;4.69E-05
790;0.00040824;4.08E-08;3.46E-05;2.05E-06;0.014806272;2.50E-05;1.35E-05;0.000316016;2.64E-05;7.56E-05;2.18E-05;4.11E-05;4.70E-05
791;0.0004104;4.10E-08;3.47E-05;2.04E-06;0.014744031;2.50E-05;1.35E-05;0.000314761;2.65E-05;7.60E-05;2.19E-05;4.13E-05;4.71E-05
792;0.00041256;4.13E-08;3.47E-05;2.02E-06;0.014682131;2.50E-05;1.35E-05;0.000313513;2.65E-05;7.63E-05;2.19E-05;4.15E-05;4.72E-05
793;0.00041472;4.15E-08;3.47E-05;2.01E-06;0.014620567;2.49E-05;1.35E-05;0.000312272;2.66E-05;7.67E-05;2.20E-05;4.16E-05;4.73E-05
794;0.00041688;4.17E-08;3.52E-05;1.99E-06;0.014559339;2.49E-05;1.35E-05;0.000311038;2.66E-05;7.71E-05;2.21E-05;4.18E-05;4.78E-05
795;0.000420768;4.21E-08;3.59E-05;1.99E-06;0.014498444;2.49E-05;1.35E-05;0.000309813;2.68E-05;7.77E-05;2.22E-05;4.21E-05;4.86E-05
796;0.000424656;4.25E-08;3.69E-05;1.98E-06;0.01443788;2.49E-05;1.35E-05;0.000308594;2.69E-05;7.84E-05;2.23E-05;4.25E-05;4.96E-05
797;0.000430272;4.30E-08;3.79E-05;1.98E-06;0.014377644;2.49E-05;1.34E-05;0.000307383;2.71E-05;7.93E-05;2.25E-05;4.29E-05;5.07E-05
798;0.000435888;4.36E-08;3.87E-05;1.97E-06;0.014317735;2.49E-05;1.34E-05;0.000306178;2.73E-05;8.03E-05;2.27E-05;4.34E-05;5.16E-05
799;0.000438264;4.38E-08;3.93E-05;1.97E-06;0.014258149;2.49E-05;1.34E-05;0.000304979;2.73E-05;8.07E-05;2.28E-05;4.36E-05;5.22E-05
800;0.00044064;4.41E-08;4.03E-05;1.96E-06;0.014198886;2.49E-05;1.34E-05;0.000303787;2.74E-05;8.11E-05;2.28E-05;4.38E-05;5.32E-05
801;0.00044388;4.44E-08;4.13E-05;1.97E-06;0.014139943;2.49E-05;1.34E-05;0.000302603;2.75E-05;8.16E-05;2.29E-05;4.41E-05;5.42E-05
802;0.00044712;4.47E-08;4.24E-05;1.97E-06;0.014081317;2.49E-05;1.34E-05;0.000301426;2.76E-05;8.22E-05;2.31E-05;4.44E-05;5.52E-05
803;0.00044928;4.49E-08;4.34E-05;1.97E-06;0.014023008;2.49E-05;1.34E-05;0.000300255;2.77E-05;8.25E-05;2.31E-05;4.45E-05;5.62E-05
804;0.00045144;4.51E-08;4.42E-05;1.98E-06;0.013965011;2.49E-05;1.34E-05;0.00029909;2.78E-05;8.29E-05;2.32E-05;4.47E-05;5.70E-05
805;0.0004536;4.54E-08;4.54E-05;1.98E-06;0.013907327;2.49E-05;1.34E-05;0.000297931;2.78E-05;8.33E-05;2.33E-05;4.49E-05;5.81E-05
806;0.00045576;4.56E-08;4.67E-05;2.00E-06;0.013849951;2.49E-05;1.34E-05;0.000296783;2.79E-05;8.37E-05;2.34E-05;4.51E-05;5.93E-05
807;0.000459;4.59E-08;4.82E-05;2.02E-06;0.013792883;2.48E-05;1.34E-05;0.00029564;2.80E-05;8.42E-05;2.35E-05;4.54E-05;6.07E-05
808;0.00046224;4.62E-08;4.97E-05;2.04E-06;0.013736121;2.48E-05;1.34E-05;0.000294504;2.82E-05;8.48E-05;2.36E-05;4.57E-05;6.21E-05
809;0.0004644;4.64E-08;5.11E-05;2.07E-06;0.013679662;2.48E-05;1.34E-05;0.000293374;2.82E-05;8.52E-05;2.37E-05;4.59E-05;6.34E-05
810;0.00046656;4.67E-08;5.27E-05;2.09E-06;0.013623504;2.48E-05;1.35E-05;0.000292252;2.83E-05;8.55E-05;2.38E-05;4.61E-05;6.48E-05
811;0.00046872;4.69E-08;5.47E-05;2.12E-06;0.013567646;2.48E-05;1.35E-05;0.000291135;2.84E-05;8.59E-05;2.39E-05;4.63E-05;6.66E-05
812;0.00047088;4.71E-08;5.67E-05;2.15E-06;0.013512085;2.48E-05;1.35E-05;0.000290024;2.85E-05;8.63E-05;2.40E-05;4.65E-05;6.84E-05
813;0.00047304;4.73E-08;5.83E-05;2.18E-06;0.013456819;2.48E-05;1.35E-05;0.00028892;2.86E-05;8.67E-05;2.41E-05;4.67E-05;6.99E-05
814;0.0004752;4.75E-08;5.94E-05;2.21E-06;0.013401847;2.48E-05;1.35E-05;0.000287821;2.87E-05;8.71E-05;2.41E-05;4.69E-05;7.09E-05
815;0.000477144;4.77E-08;6.03E-05;2.23E-06;0.013347167;2.48E-05;1.35E-05;0.000286729;2.87E-05;8.74E-05;2.42E-05;4.71E-05;7.18E-05
816;0.000479088;4.79E-08;6.15E-05;2.28E-06;0.013292777;2.48E-05;1.35E-05;0.000285646;2.88E-05;8.78E-05;2.43E-05;4.73E-05;7.29E-05
817;0.000482976;4.83E-08;6.33E-05;2.33E-06;0.013238674;2.48E-05;1.36E-05;0.00028457;2.90E-05;8.85E-05;2.45E-05;4.76E-05;7.46E-05
818;0.000486864;4.87E-08;6.54E-05;2.38E-06;0.013184857;2.48E-05;1.36E-05;0.000283499;2.91E-05;8.92E-05;2.47E-05;4.80E-05;7.65E-05
819;0.000490752;4.91E-08;6.74E-05;2.43E-06;0.013131325;2.48E-05;1.36E-05;0.000282434;2.93E-05;8.98E-05;2.48E-05;4.84E-05;7.84E-05
820;0.00049464;4.95E-08;6.91E-05;2.48E-06;0.013078075;2.48E-05;1.36E-05;0.000281374;2.95E-05;9.05E-05;2.50E-05;4.87E-05;8.00E-05
821;0.000498528;4.99E-08;7.08E-05;2.56E-06;0.013025105;2.48E-05;1.37E-05;0.000280325;2.96E-05;9.12E-05;2.52E-05;4.91E-05;8.16E-05
822;0.000502416;5.02E-08;7.24E-05;2.63E-06;0.012972413;2.48E-05;1.37E-05;0.000279282;2.98E-05;9.19E-05;2.54E-05;4.95E-05;8.32E-05
823;0.000506304;5.06E-08;7.40E-05;2.70E-06;0.012919999;2.47E-05;1.37E-05;0.000278244;2.99E-05;9.26E-05;2.55E-05;4.99E-05;8.47E-05
824;0.000510192;5.10E-08;7.58E-05;2.77E-06;0.01286786;2.47E-05;1.38E-05;0.000277212;3.01E-05;9.33E-05;2.57E-05;5.03E-05;8.64E-05
825;0.000513324;5.13E-08;7.75E-05;2.83E-06;0.012815994;2.47E-05;1.38E-05;0.000276181;3.02E-05;9.39E-05;2.59E-05;5.06E-05;8.80E-05
826;0.000516456;5.16E-08;7.86E-05;2.88E-06;0.012764399;2.47E-05;1.38E-05;0.000275156;3.04E-05;9.45E-05;2.60E-05;5.09E-05;8.90E-05
827;0.000518832;5.19E-08;7.96E-05;2.93E-06;0.012713074;2.47E-05;1.38E-05;0.000274136;3.05E-05;9.49E-05;2.61E-05;5.11E-05;9.00E-05
